locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20171170_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Bellingen_Arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,20171170
20173096_QLD_Inner Regional Australia_Sunshine Coast_Sunshine Coast_Local Road,QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Local Road,20173096
20171319_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20171319
20172191_VIC_Inner Regional Australia_Latrobe - Gippsland_Latrobe (Vic.)_Arterial Road,VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Arterial Road,20172191
20171150_NSW_Remote Australia_Murray_Wentworth_Local Road,NSW,Remote Australia,Murray,Wentworth,Local Road,20171150
20173152_QLD_Remote Australia_Central Queensland_Central Highlands (Qld)_Collector Road,QLD,Remote Australia,Central Queensland,Central Highlands (Qld),Collector Road,20173152
20172168_VIC_Inner Regional Australia_Latrobe - Gippsland_Wellington_Arterial Road,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Arterial Road,20172168
20171068_NSW_Outer Regional Australia_New England and North West_Glen Innes Severn_Sub-arterial Road,NSW,Outer Regional Australia,New England and North West,Glen Innes Severn,Sub-arterial Road,20171068
20172066_VIC_Outer Regional Australia_North West_Gannawarra_Arterial Road,VIC,Outer Regional Australia,North West,Gannawarra,Arterial Road,20172066
20173099_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Collector Road,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Collector Road,20173099
20172111_VIC_Major Cities of Australia_Melbourne - South East_Greater Dandenong_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Sub-arterial Road,20172111
20174030_SA_Major Cities of Australia_Adelaide - North_Salisbury_Arterial Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road,20174030
20172217_VIC_Major Cities of Australia_Melbourne - South East_Greater Dandenong_Arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Arterial Road,20172217
20173194_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Sub-arterial Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road,20173194
20171228_NSW_Inner Regional Australia_Murray_Greater Hume_Arterial Road,NSW,Inner Regional Australia,Murray,Greater Hume,Arterial Road,20171228
20174093_SA_Inner Regional Australia_Adelaide - South_Onkaparinga_Sub-arterial Road,SA,Inner Regional Australia,Adelaide - South,Onkaparinga,Sub-arterial Road,20174093
20172061_VIC_Inner Regional Australia_Melbourne - South East_Cardinia_Local Road,VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Local Road,20172061
20171341_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Singleton_Arterial Road,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road,20171341
20171124_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Singleton_Local Road,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road,20171124
20174059_SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker_Sub-arterial Road,SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Sub-arterial Road,20174059
20174055_SA_Major Cities of Australia_Adelaide - North_Playford_Local Road,SA,Major Cities of Australia,Adelaide - North,Playford,Local Road,20174055
20171214_NSW_Inner Regional Australia_Richmond - Tweed_Tweed_Access road,NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Access road,20171214
20172018_VIC_Major Cities of Australia_Melbourne - South East_Greater Dandenong_National or State Highway,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,National or State Highway,20172018
20173095_QLD_Very Remote Australia_Queensland - Outback_Carpentaria_Sub-arterial Road,QLD,Very Remote Australia,Queensland - Outback,Carpentaria,Sub-arterial Road,20173095
20171322_NSW_Major Cities of Australia_Richmond - Tweed_Tweed_Sub-arterial Road,NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Sub-arterial Road,20171322
20175100_WA_Outer Regional Australia_Western Australia - Wheat Belt_Gingin_Arterial Road,WA,Outer Regional Australia,Western Australia - Wheat Belt,Gingin,Arterial Road,20175100
20171111_NSW_Outer Regional Australia_New England and North West_Tamworth_National or State Highway,NSW,Outer Regional Australia,New England and North West,Tamworth,National or State Highway,20171111
20173008_QLD_Outer Regional Australia_Townsville_Townsville_Sub-arterial Road,QLD,Outer Regional Australia,Townsville,Townsville,Sub-arterial Road,20173008
20171218_NSW_Major Cities of Australia_Sydney - Inner West_Burwood_Local Road,NSW,Major Cities of Australia,Sydney - Inner West,Burwood,Local Road,20171218
20171181_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20171181
20171321_NSW_Inner Regional Australia_New England and North West_Tamworth_Arterial Road,NSW,Inner Regional Australia,New England and North West,Tamworth,Arterial Road,20171321
20171078_NSW_Major Cities of Australia_Sydney - Ryde_Ryde_Arterial Road,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road,20171078
20172201_VIC_Inner Regional Australia_Hume_Indigo_Sub-arterial Road,VIC,Inner Regional Australia,Hume,Indigo,Sub-arterial Road,20172201
20175141_WA_Outer Regional Australia_Western Australia - Wheat Belt_Albany_Local Road,WA,Outer Regional Australia,Western Australia - Wheat Belt,Albany,Local Road,20175141
20175094_WA_Major Cities of Australia_Perth - South West_Melville_Arterial Road,WA,Major Cities of Australia,Perth - South West,Melville,Arterial Road,20175094
20173160_QLD_Outer Regional Australia_Darling Downs - Maranoa_Southern Downs_National or State Highway,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,20173160
20174013_SA_Major Cities of Australia_Adelaide - West_Charles Sturt_Collector Road,SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Collector Road,20174013
20173049_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Local Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,20173049
20172211_VIC_Inner Regional Australia_Shepparton_Moira_National or State Highway,VIC,Inner Regional Australia,Shepparton,Moira,National or State Highway,20172211
20171183_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Local Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,20171183
20171346_NSW_Major Cities of Australia_Sydney - Inner South West_Georges River_Arterial Road,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road,20171346
20172139_VIC_Major Cities of Australia_Melbourne - West_Maribyrnong_Arterial Road,VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Arterial Road,20172139
20175138_WA_Major Cities of Australia_Perth - South East_Canning_Local Road,WA,Major Cities of Australia,Perth - South East,Canning,Local Road,20175138
20171034_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Newcastle_Arterial Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,20171034
20171012_NSW_Inner Regional Australia_Central West_Bathurst_National or State Highway,NSW,Inner Regional Australia,Central West,Bathurst,National or State Highway,20171012
20174085_SA_Outer Regional Australia_South Australia - South East_Wattle Range_Collector Road,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Collector Road,20174085
20171067_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens_Local Road,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,20171067
20171247_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_Local Road,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road,20171247
20175047_WA_Major Cities of Australia_Perth - South West_Melville_National or State Highway,WA,Major Cities of Australia,Perth - South West,Melville,National or State Highway,20175047
20176009_TAS_Outer Regional Australia_West and North West_Central Coast (Tas.)_Collector Road,TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),Collector Road,20176009
20171316_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,20171316
20173104_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,20173104
20172223_VIC_Outer Regional Australia_Warrnambool and South West_Southern Grampians_National or State Highway,VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,National or State Highway,20172223
20172181_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Sub-arterial Road,20172181
20174072_SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road,SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road,20174072
20174048_SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_National or State Highway,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,National or State Highway,20174048
20171337_NSW_Major Cities of Australia_Sydney - Ryde_Ryde_Local Road,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Local Road,20171337
20171093_NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Local Road,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,20171093
20173142_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_National or State Highway,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,20173142
20172025_VIC_Inner Regional Australia_Hume_Benalla_National or State Highway,VIC,Inner Regional Australia,Hume,Benalla,National or State Highway,20172025
20175057_WA_Outer Regional Australia_Western Australia - Wheat Belt_Narrogin_Local Road,WA,Outer Regional Australia,Western Australia - Wheat Belt,Narrogin,Local Road,20175057
20172083_VIC_Inner Regional Australia_Bendigo_Mount Alexander_Sub-arterial Road,VIC,Inner Regional Australia,Bendigo,Mount Alexander,Sub-arterial Road,20172083
20172123_VIC_Inner Regional Australia_Shepparton_Moira_Sub-arterial Road,VIC,Inner Regional Australia,Shepparton,Moira,Sub-arterial Road,20172123
20174050_SA_Major Cities of Australia_Adelaide - North_Tea Tree Gully_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Sub-arterial Road,20174050
20175041_WA_Remote Australia_Western Australia - Outback (South)_Carnamah_Arterial Road,WA,Remote Australia,Western Australia - Outback (South),Carnamah,Arterial Road,20175041
20171142_NSW_Remote Australia_Riverina_Carrathool_National or State Highway,NSW,Remote Australia,Riverina,Carrathool,National or State Highway,20171142
20171134_NSW_Outer Regional Australia_Riverina_Narrandera_National or State Highway,NSW,Outer Regional Australia,Riverina,Narrandera,National or State Highway,20171134
20174057_SA_Major Cities of Australia_Adelaide - North_Salisbury_Collector Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Collector Road,20174057
20171040_NSW_Outer Regional Australia_Capital Region_Bega Valley_Sub-arterial Road,NSW,Outer Regional Australia,Capital Region,Bega Valley,Sub-arterial Road,20171040
20171213_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_Collector Road,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Collector Road,20171213
20171216_NSW_Major Cities of Australia_Sydney - South West_Liverpool_Arterial Road,NSW,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,20171216
20172040_VIC_Major Cities of Australia_Melbourne - South East_Casey_National or State Highway,VIC,Major Cities of Australia,Melbourne - South East,Casey,National or State Highway,20172040
20171298_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20171298
20174014_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Arterial Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Arterial Road,20174014
20172070_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Local Road,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Local Road,20172070
20171335_NSW_Outer Regional Australia_New England and North West_Tamworth_National or State Highway,NSW,Outer Regional Australia,New England and North West,Tamworth,National or State Highway,20171335
20173199_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_Sub-arterial Road,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road,20173199
20174064_SA_Major Cities of Australia_Adelaide - North_Gawler_Local Road,SA,Major Cities of Australia,Adelaide - North,Gawler,Local Road,20174064
20171307_NSW_Inner Regional Australia_Capital Region_Yass Valley_National or State Highway,NSW,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,20171307
20175016_WA_Major Cities of Australia_Perth - South West_Rockingham_Local Road,WA,Major Cities of Australia,Perth - South West,Rockingham,Local Road,20175016
20171230_NSW_Major Cities of Australia_Sydney - Ryde_Ryde_Arterial Road,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road,20171230
20172182_VIC_Major Cities of Australia_Melbourne - Inner South_Bayside (Vic.)_National or State Highway,VIC,Major Cities of Australia,Melbourne - Inner South,Bayside (Vic.),National or State Highway,20172182
20172185_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road,20172185
20172121_VIC_Outer Regional Australia_Hume_Mansfield_National or State Highway,VIC,Outer Regional Australia,Hume,Mansfield,National or State Highway,20172121
20172005_VIC_Major Cities of Australia_Melbourne - North East_Banyule_Arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Banyule,Arterial Road,20172005
20174066_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Local Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Local Road,20174066
20176024_TAS_Outer Regional Australia_Launceston and North East_Northern Midlands_Arterial Road,TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,Arterial Road,20176024
20171229_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Shoalhaven_Sub-arterial Road,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-arterial Road,20171229
20171071_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20171071
